image_id,filename,category,caption,caption_detailed
0,img_00000.jpg,people_walking,people walking across a crosswalk in tokyo,a detailed description of tokyo ' s crosswalks
1,img_00001.jpg,people_walking,a group of people walking down a street,a detailed description of people walking down the street
2,img_00002.jpg,people_walking,a group of people walking down a sidewalk,a detailed description of a couple walking down the street
3,img_00003.jpg,people_walking,a group of people walking down a street,a detailed description of the benefits of walking with a disability
4,img_00004.jpg,people_walking,people walking down a narrow street in amsterdam,a detailed description of the best things to do in amsterdam the best things to do in amsterdam the best things to do in amsterdam the best things
5,img_00005.jpg,people_walking,a group of people walking down a street,a detailed description of people walking down the street
6,img_00006.jpg,people_walking,a person walking down the street in front of a building,a detailed description of a person walking down a street in a city
7,img_00007.jpg,people_walking,a group of people walking down a street,a detailed description of a crowd of people walking down a street
8,img_00008.jpg,people_walking,"people walking down the street in barcelona, spain","a detailed description of the streets of barcelona, spain"
9,img_00009.jpg,people_walking,people walking down the street in the rain,a detailed description of the best places to visit in new york
10,img_00010.jpg,people_walking,a person walking down a sidewalk in a city,a detailed description of a person walking down a street
11,img_00011.jpg,people_walking,a group of people walking down a city street,a detailed description of a group of people walking down a street
12,img_00012.jpg,people_walking,a group of people walking across a street,a detailed description of london ' s high - tech streets
13,img_00013.jpg,people_walking,a black and white photo of people walking down a street,a detailed description of the streets of the old city
14,img_00014.jpg,people_walking,a group of people walking down a street,"a detailed description of the streets of barcelona, spain"
15,img_00015.jpg,people_walking,a group of people walking down a street,a detailed description of people walking on a city street
16,img_00016.jpg,people_walking,a group of people walking down a street,"a detailed description of the crosswalk in san, california"
17,img_00017.jpg,people_walking,a man in a yellow hat walking down the street,a detailed description of a person walking down a city street
18,img_00018.jpg,people_walking,people walking down the street in the city,"a detailed description of the best things to do in bangkok, thailand"
19,img_00019.jpg,people_walking,a group of people walking down a street,a detailed description of nigeria ' s economic crisis
20,img_00020.jpg,people_walking,a black and white photo of people walking down the street,"a detailed description of the streets of rome, italy"
21,img_00021.jpg,people_walking,a group of people walking down a city street,a detailed description of people walking on a sidewalk
22,img_00022.jpg,people_walking,a person walking down a street next to a building,a detailed description of a street in the old city
23,img_00023.jpg,people_walking,"people walking down the street in venice, italy","a detailed description of the best things to do in venice, italy"
24,img_00024.jpg,people_walking,a group of people standing in front of a building,"a detailed description of the violence in new york, new york, new york, new york"
25,img_00025.jpg,people_walking,people walking down the street in the rain,a detailed description of the city ' s main shopping streets
26,img_00026.jpg,people_walking,a group of people walking across a crosswalk,a detailed description of people walking across a crosswalk
27,img_00027.jpg,people_walking,people walking down the street with umbrellas,a detailed description of the best places to visit in japan
28,img_00028.jpg,people_walking,people walking down a narrow street in the city,"a detailed description of the streets of barcelona, spain"
29,img_00029.jpg,people_walking,a group of people walking down a street,"a detailed description of the streets of dublin, ireland"
30,img_00030.jpg,people_walking,a group of people walking down a city street,a detailed description of the best places to visit in melbourne
31,img_00031.jpg,people_walking,a black and white photo of people walking down a city street,a detailed description of a black and white image of people walking down a city street
32,img_00032.jpg,people_walking,a group of people walking down a city street,"a detailed description of the streets of dublin, ireland"
33,img_00033.jpg,people_walking,a group of people walking down a street,a detailed description of singapore ' s top tourist attractions
34,img_00034.jpg,people_walking,people walking down the street in front of a store,a detailed description of a busy shopping street
35,img_00035.jpg,people_walking,people walking down the street,a detailed description of the world ' s most famous cities
36,img_00036.jpg,people_walking,a group of people walking down a street,a detailed description of people walking down the street
37,img_00037.jpg,people_walking,a black and white photo of people crossing a street,a detailed description of the history of san ' s streets
38,img_00038.jpg,people_walking,a group of people walking down a street,a detailed description of people walking down a street
39,img_00039.jpg,people_walking,a group of people walking down a street,a detailed description of the streets of paris
40,img_00040.jpg,people_walking,a black and white photo of people walking down a street,"a detailed description of the streets of lisbon, portugal"
41,img_00041.jpg,people_walking,a group of people walking down a street,a detailed description of people walking down a street
42,img_00042.jpg,people_walking,a crowd of people walking down a street,a detailed description of a crowd of people walking down a street
43,img_00043.jpg,people_walking,cars parked on the side of a street,a detailed description of a city street with cars parked on both sides
44,img_00044.jpg,people_walking,a group of people walking across a crosswalk,a detailed description of people walking on a city street
45,img_00045.jpg,people_walking,people crossing the street in new york,a detailed description of new york ' s streets
46,img_00046.jpg,people_walking,people walking down a narrow street in the city,a detailed description of the narrow streets of paris
47,img_00047.jpg,people_walking,a group of people walking down a sidewalk,a detailed description of a group of people walking down the street
48,img_00048.jpg,people_walking,people walking down the street in a city,"a detailed description of the streets of baku, azerbaijan"
49,img_00049.jpg,people_walking,a man in a suit walking down a street,"a detailed description of street art in melbourne, australia"
50,img_00050.jpg,people_walking,a group of people walking down a sidewalk,a detailed description of people walking down the street
51,img_00051.jpg,people_walking,people walking down the street in a city,a detailed description of paris ' s streets
52,img_00052.jpg,people_walking,black and white photo of people crossing the street,a detailed description of people crossing the street
53,img_00053.jpg,people_walking,a group of people walking down a street,a detailed description of tokyo ' s streets
54,img_00054.jpg,people_walking,people walking down a narrow street in paris,a detailed description of the streets of paris
55,img_00055.jpg,people_walking,a man and a woman walking down a street,a detailed description of a man and woman walking down the street
56,img_00056.jpg,people_walking,a group of people walking across a street,a detailed description of the best places to visit in madrid
57,img_00057.jpg,people_walking,a black and white photo of people walking down the street,a detailed description of the city ' s streets
58,img_00058.jpg,people_walking,a man walking down a city street at sunset,"a detailed description of the city of madrid, spain"
59,img_00059.jpg,people_walking,a group of people walking down a cobbed street,"a detailed description of the streets of rome, italy"
60,img_00060.jpg,people_walking,a black and white photo of people walking down a street,"a detailed description of the streets of florence, italy"
61,img_00061.jpg,people_walking,a man sitting on the side of a brick wall,a detailed description of a photographer ' s shadow on a wall
62,img_00062.jpg,people_walking,a group of people walking down a sidewalk,a detailed description of people walking on a sidewalk
63,img_00063.jpg,people_walking,people walking down a street in the city,"a detailed description of the best things to do in ghent, belgium"
64,img_00064.jpg,people_walking,a group of people walking down a street,a detailed description of singapore ' s top tourist attractions
65,img_00065.jpg,people_walking,people walking down the street at sunset,a detailed description of people walking on a cobbled street at sunset
66,img_00066.jpg,people_walking,a group of people walking down a street,a detailed description of a group of people walking down a street
67,img_00067.jpg,people_walking,a group of people walking down a street,a detailed description of seoul ' s most shopping streets
68,img_00068.jpg,people_walking,two people walking down the street in the rain,a detailed description of a couple walking in the rain
69,img_00069.jpg,people_walking,black and white photo of people walking in the rain,a detailed description of the reflection of the water on the street in the old town
70,img_00070.jpg,people_walking,two people walking down the street in a city,"a detailed description of the streets of bologna, italy"
71,img_00071.jpg,people_walking,a group of people walking down a city street,a detailed description of people walking down the street
72,img_00072.jpg,people_walking,a group of people walking down a street,a detailed description of a group of people walking down a street
73,img_00073.jpg,people_walking,a black and white photo of people crossing the street,a detailed description of the crosswalk in tokyo ' s aka district
74,img_00074.jpg,people_walking,a group of people walking down a city street,a detailed description of people walking down the street
75,img_00075.jpg,people_walking,two people walking down a city street at dusk,a detailed description of the best places to visit in amsterdam
76,img_00076.jpg,people_walking,two women walking a dog down a city street,a detailed description of people walking down the street
77,img_00077.jpg,people_walking,"people walking down the street in havana, cuba","a detailed description of the streets of havana, cuba"
78,img_00078.jpg,people_walking,a group of people walking down a city street,a detailed description of people walking down a street
79,img_00079.jpg,people_walking,people crossing the street in front of a large building,a detailed description of tokyo ' s busiest shopping district
80,img_00080.jpg,people_walking,a group of people walking down a street,a detailed description of the city ' s streets
81,img_00081.jpg,people_walking,a group of people walking through an airport,a detailed description of a group of people
82,img_00082.jpg,people_walking,a group of people walking down a street,a detailed description of the best things to do in mexico
83,img_00083.jpg,people_walking,a group of people standing in front of a car,a detailed description of the best street fashion brands in the world
84,img_00084.jpg,people_walking,a group of people walking down a street,a detailed description of a group of people walking down a street
85,img_00085.jpg,people_walking,two women walking down the street with their dog,a detailed description of the best street style in the world
86,img_00086.jpg,people_walking,a group of people walking down a street,"a detailed description of the streets of lisbon, portugal"
87,img_00087.jpg,people_walking,a black and white photo of people walking down a street,a detailed description of the streets of paris
